Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Ran Abramitzky,1,Disciplinary,1,male,4,1,4,7,Abramitzky
Tasso Adamopoulos,1,Disciplinary,0,male,1,1,42,8,Adamopoulos
Nikhil Agarwal,1,Disciplinary,1,male,6,1,2,5,Agarwal
Christian R. Ahlin,1,Disciplinary,0,male,1,1,23,6,Ahlin
Naoki Aizawa,1,Disciplinary,1,male,5,1,38,10,Aizawa
Ahmet Akyol,1,Disciplinary,0,male,4,1,42,7,Akyol
Simon Alder,0,Disciplinary,0,male,1,1,34,6,Alder
Martin Alfaro,1,Disciplinary,0,male,1,1,47,7,Alfaro
Douglas Almond,1,Disciplinary,1,male,1,1,6,9,Almond
Massimiliano Amarante,1,Disciplinary,0,male,1,1,37,6,Amarante
Attila Ambrus,1,Disciplinary,1,male,1,1,19,9,Ambrus
Yonghong An,1,Disciplinary,0,male,5,1,25,6,An
Dana C. Andersen,1,Interdisciplinary,0,male,1,1,47,8,Andersen
Soren T. Anderson,1,Disciplinary,1,male,1,1,23,7,Anderson
Siwan Anderson,1,Disciplinary,0,female,1,1,26,6,Anderson
Marco Angrisani,1,Interdisciplinary,0,male,1,1,15,9,Angrisani
Gaetano Antinolfi,1,Disciplinary,0,male,1,1,29,5,Antinolfi
Pol Antras,1,Disciplinary,1,male,1,1,1,5,Antras
S Anukriti,0,Disciplinary,0,female,6,1,12,11,Anukriti
Diego Anzoategui,0,Disciplinary,0,male,2,1,27,11,Anzoategui
Peter Arcidiacono,1,Disciplinary,1,male,1,1,19,6,Arcidiacono
S. Borağan Aruoba,1,Disciplinary,0,male,4,1,24,5,Aruoba
Enghin Atalay,0,Disciplinary,1,male,4,1,38,9,Atalay
David Atkin,1,Disciplinary,1,male,1,1,2,7,Atkin
Adrien Auclert,1,Disciplinary,1,male,1,1,4,8,Auclert
David Autor,1,Disciplinary,1,male,1,1,2,10,Autor
Andrii Babii,1,Disciplinary,0,male,1,1,34,7,Babii
Ana Babus,1,Disciplinary,0,female,1,1,29,6,Babus
Matthew Backus,1,Disciplinary,1,male,1,1,5,9,Backus
Clare Balboni,0,Disciplinary,1,female,1,1,2,12,Balboni
Yong Bao,1,Disciplinary,0,male,5,1,43,6,Bao
David R. Baqaee,1,Disciplinary,1,male,4,1,20,5,Baqaee
Thomas Baranga,0,Disciplinary,0,male,4,1,33,7,Baranga
Silvia Helena Barcellos,1,Interdisciplinary,0,female,1,1,15,8,Barcellos
Prabhat Barnwal,1,Disciplinary,1,male,6,1,23,9,Barnwal
Andrew Christopher Barr,1,Disciplinary,0,male,4,1,25,8,Barr
Levon Barseghyan,1,Disciplinary,1,male,4,1,14,8,Barseghyan
Deepal Basak,1,Disciplinary,1,male,4,1,49,6,Basak
Natalie Bau,1,Disciplinary,1,female,1,1,20,6,Bau
Jonathan Beauchamp,0,Disciplinary,0,male,1,1,16,6,Beauchamp
Andriana Bellou,1,Disciplinary,0,female,1,1,37,6,Bellou
Daniel Bennett,1,Disciplinary,1,male,1,1,15,7,Bennett
Antonio Miguel R. Bento,1,Interdisciplinary,1,male,1,1,15,4,Bento
Pedro Bento,1,Disciplinary,0,male,1,1,25,7,Bento
Martin Beraja,1,Disciplinary,1,male,2,1,2,8,Beraja
Anmol Bhandari,1,Disciplinary,1,male,6,1,21,10,Bhandari
Prashant Bharadwaj,1,Disciplinary,1,male,6,1,33,5,Bharadwaj
Vivek Bhattacharya,1,Disciplinary,1,male,6,1,9,5,Bhattacharya
Saroj Bhattarai,1,Disciplinary,0,male,6,1,30,5,Bhattarai
Saki Bigio,1,Disciplinary,1,male,1,1,20,9,Bigio
Andrés Blanco,0,Disciplinary,1,male,2,1,13,8,Blanco
Nicholas Bloom,1,Disciplinary,1,male,4,1,4,7,Bloom
Arthur Blouin,1,Disciplinary,1,male,1,1,16,10,Blouin
Simon Board,1,Disciplinary,1,male,1,1,20,7,Board
Gustavo J. Bobonis,1,Disciplinary,1,male,1,1,16,5,Bobonis
Luigi Bocola,1,Disciplinary,1,male,1,1,4,9,Bocola
Hernan J. Moscoso Boedo,0,Disciplinary,0,male,2,1,35,7,Boedo
Christoph Boehm,1,Disciplinary,1,male,1,1,30,8,Boehm
Aislinn Bohren,1,Disciplinary,1,female,1,1,7,8,Bohren
Timothy N. Bond,1,Disciplinary,0,male,1,1,43,5,Bond
Mark Borgschulte,1,Disciplinary,0,male,1,1,28,10,Borgschulte
Celine Boulenger,0,Disciplinary,0,female,1,1,31,5,Boulenger
Leah Platt Boustan,0,Disciplinary,1,female,1,1,10,6,Boustan
Svetlana Boyarchenko,1,Disciplinary,1,female,1,1,30,23,Boyarchenko
Vera Brencic,1,Disciplinary,0,female,1,1,47,5,Brencic
Emily Breza,1,Disciplinary,1,female,1,1,1,7,Breza
Isabelle Brocas,1,Disciplinary,0,female,1,1,15,4,Brocas
David P. Brown,1,Disciplinary,0,male,1,1,47,5,Brown
Markus K. Brunnermeier,1,Disciplinary,1,male,1,1,11,6,Brunnermeier
Neil J. Buckley,1,Interdisciplinary,0,male,1,1,42,9,Buckley
Martin Burda,1,Disciplinary,0,male,1,1,16,7,Burda
Ariel Tomas Burstein,1,Disciplinary,1,male,4,1,20,5,Burstein
R. Andrew Butters,1,Disciplinary,0,male,1,1,49,7,Butters
Marika Cabral,1,Disciplinary,1,female,1,1,30,5,Cabral
Gregorio Caetano,1,Disciplinary,0,male,1,1,46,9,Caetano
Jing Cai,0,Disciplinary,1,female,5,1,13,8,Cai
Santiago Caicedo,1,Disciplinary,1,male,2,1,39,8,Caicedo
Brantly Callaway,1,Disciplinary,0,male,1,1,46,9,Callaway
Ivan A. Canay,1,Disciplinary,0,male,4,1,9,7,Canay
Colleen Carey,0,Disciplinary,0,female,1,1,14,9,Carey
Jillian B. Carr,1,Disciplinary,0,female,1,1,43,6,Carr
Marine Carrasco,1,Disciplinary,0,female,1,1,37,4,Carrasco
Paul E. Carrillo,1,Disciplinary,0,male,1,1,41,8,Carrillo
Leandro Carvalho,1,Disciplinary,1,male,1,1,15,9,Carvalho
