"","Name","tenure","Econ_Index","Journal_rank","Gender","Ethnicity","Author.Position","Rank","BA_to_PHD","PHD_to_Fac","Fac_to_decision"
"1","Aaditya Dar",0,"Disciplinary","3","male","6","1",24,11,1,3
"2","Aaron Hedlund",1,"Disciplinary","4","male","1","0",43,6,2,6
"3","Adam M. Guren",1,"Disciplinary","2","male","4","0",12,6,0,7
"4","Adam Osman",1,"Disciplinary","3","male","4","2",28,7,0,9
"5","Adi Sunderam",1,"Disciplinary","3","male","6","1",1,6,0,5
"6","Aditi Thapar",0,"Disciplinary","2","female","6","1",13,7,0,6
"7","Adrien Auclert",1,"Disciplinary","1","male","1","0",4,8,1,8
"8","Adrien Matray",0,"Disciplinary","2","male","1","2",11,6,0,9
"9","Aeimit Lakdawala",0,"Disciplinary","2","male","1","0",23,6,0,9
"10","Ahmad Lashkaripour",1,"Disciplinary","2","male","6","0",22,7,0,8
"11","Ahmet Akyol",1,"Disciplinary","3","male","4","0",42,7,0,10
"12","Aislinn Bohren",1,"Disciplinary","2","female","1","0",7,8,1,6
"13","Ajin Lee",0,"Disciplinary","3","female","5","1",23,6,0,7
"14","Alan T. Sorensen",1,"Disciplinary","2","male","1","0",38,4,0,8
"15","Alessandro Dovis",1,"Disciplinary","1","male","1","1",7,9,0,10
"16","Alessandro Pavan",1,"Disciplinary","1","male","6","2",9,5,3,4
"17","Alexander Torgovitsky",1,"Disciplinary","1","female","1","1",3,6,-1,6
"18","Alexander Wolitzky",1,"Disciplinary","2","male","4","0",2,4,3,2
"19","Ali Hortaçsu",1,"Disciplinary","2","male","1","1",3,5,0,5
"20","Alicia Sasser Modestino",1,"Interdisciplinary","4","female","1","1",39,8,3,10
"21","Allan Collard-Wexler",1,"Disciplinary","1","male","1","0",19,7,-1,8
"22","Alvin D. Murphy",1,"Disciplinary","2","male","1","3",18,8,0,10
"23","Amalia R. Miller",1,"Disciplinary","4","female","1","0",35,5,0,6
"24","Amanda Pallais",1,"Disciplinary","3","female","1","1",1,5,0,4
"25","Amy E. Eremionkhale",0,"Disciplinary","6","female","1","0",31,8,1,4
"26","Amy Finkelstein",1,"Disciplinary","1","female","1","0",2,6,4,2
"27","Ana Babus",1,"Disciplinary","3","female","1","1",29,6,3,12
"28","Anant Nyshadham",0,"Disciplinary","2","male","6","2",15,6,0,3
"29","Ananth Ramanarayanan",1,"Disciplinary","2","male","6","1",44,5,4,9
"30","Ananth Seshadri",1,"Disciplinary","2","male","6","1",38,5,5,0
"31","Andrei A. Levchenko",1,"Disciplinary","2","male","1","1",13,5,4,5
"32","Andres Santos",1,"Interdisciplinary","3","male","1","1",20,7,0,5
"33","Andrew Christopher Barr",1,"Disciplinary","2","male","4","0",25,8,0,3
"34","Andrew Eckert",1,"Disciplinary","4","male","1","0",47,6,1,6
"35","Andrew Garin",0,"Disciplinary","3","male","1","0",28,9,1,5
"36","Andrew Kloosterman",0,"Disciplinary","3","male","1","0",35,9,1,5
"37","Andrew Leach",1,"Interdisciplinary","4","male","6","1",47,6,2,5
"38","Andrew Shephard",1,"Disciplinary","1","male","1","2",7,9,0,10
"39","Andrey Semenov",1,"Disciplinary","5","male","1","0",42,9,4,4
"40","Andrey Stoyanov",1,"Disciplinary","3","male","1","1",42,7,0,5
"41","Andrey Timofeev",1,"Interdisciplinary","6","male","1","2",31,9,7,12
"42","Andriana Bellou",1,"Disciplinary","3","female","1","0",37,6,0,7
"43","Andrii Babii",1,"Disciplinary","3","male","1","0",34,7,0,6
"44","Andrés Blanco",0,"Disciplinary","2","male","2","1",13,8,0,8
"45","Andrés Drenik",0,"Disciplinary","1","male","2","1",6,8,0,8
"46","Anmol Bhandari",1,"Disciplinary","1","male","6","1",21,10,1,7
"47","Anna Mikusheva",1,"Disciplinary","2","female","1","0",2,3,6,5
"48","Annie Liang",1,"Disciplinary","1","female","5","0",9,5,1,7
"49","Anson Soderbery",1,"Disciplinary","3","male","1","0",43,5,0,6
"50","Antonio Doblas-Madrid",1,"Disciplinary","4","male","1","0",23,7,1,9
"51","Antonio Miguel R. Bento",1,"Interdisciplinary","3","male","1","1",15,4,0,7
"52","Anusha Chari",1,"Interdisciplinary","3","female","6","0",34,10,0,7
"53","Anusha Nath",0,"Interdisciplinary","5","female","6","1",21,11,0,7
"54","Ariel Tomas Burstein",1,"Disciplinary","2","male","4","1",20,5,0,7
"55","Arijit Mukherjee",1,"Disciplinary","3","male","6","1",23,7,3,6
"56","Arlene Wong",0,"Disciplinary","5","female","5","3",11,10,1,3
"57","Arnaud Costinot",1,"Disciplinary","2","male","1","0",2,5,0,5
"58","Arnaud Maurel",1,"Disciplinary","1","male","4","2",19,6,1,9
"59","Arthur Blouin",1,"Disciplinary","2","male","1","0",16,10,0,10
"60","Arun G. Chandrasekhar",1,"Disciplinary","1","male","6","1",4,5,1,7
"61","Ashantha Ranasinghe",1,"Disciplinary","3","male","6","1",47,9,0,8
"62","Ashley C. Craig",0,"Disciplinary","2","male","1","0",13,9,0,4
"63","Ashley Swanson",1,"Interdisciplinary","2","female","1","2",38,7,0,10
"64","Athanasios Geromichalos",1,"Disciplinary","2","male","1","0",45,7,0,8
"65","Attila Ambrus",1,"Disciplinary","1","male","1","0",19,9,0,4
"66","Azeem M. Shaikh",1,"Disciplinary","4","male","6","1",3,6,1,4
"67","Ben Li",0,"Disciplinary","3","male","5","1",12,7,0,8
"68","Ben Zou",0,"Disciplinary","2","male","5","2",43,9,0,7
"69","Benjamin D. Williams",1,"Disciplinary","3","male","1","0",41,6,0,8
"70","Benjamin Faber",1,"Disciplinary","1","male","1","1",5,7,1,6
"71","Benjamin M. Marx",1,"Disciplinary","2","male","1","1",31,13,0,7
"72","Benjamin MacLean Sand",1,"Disciplinary","5","male","1","0",42,6,2,6
"73","Berta Esteve-Volart",1,"Disciplinary","3","female","1","1",42,9,0,5
"74","Beyza Ural Marchand",1,"Disciplinary","4","female","1","1",47,8,0,8
"75","Bilge Erten",1,"Disciplinary","2","female","4","1",39,6,0,11
"76","Bingxiao Wu",1,"Disciplinary","3","female","5","2",27,5,0,11
"77","Brad Larsen",0,"Disciplinary","2","male","1","1",4,5,1,8
"78","Brantly Callaway",1,"Disciplinary","3","male","1","0",46,9,0,7
"79","Brendan Kline",1,"Disciplinary","1","male","1","0",30,7,0,6
"80","Brian Dillon",0,"Disciplinary","3","male","1","1",36,11,2,5
"81","Brian McManus",1,"Disciplinary","2","male","1","1",34,5,0,6
"82","Bruno Strulovici",1,"Disciplinary","1","male","1","1",9,7,3,6
"83","Bryan A. Stuart",0,"Disciplinary","2","male","1","2",41,6,0,5
"84","Bryan S. Graham",1,"Disciplinary","3","male","1","0",5,8,0,6
"85","Burkhard C. Schipper",1,"Disciplinary","3","male","1","1",45,8,2,6
"86","Carlianne E. Patrick",1,"Disciplinary","4","female","1","1",31,12,0,8
"87","Carlos Serrano",0,"Disciplinary","3","male","1","1",16,7,0,6
